id,name,link
313b076c-374b-66cc-bfe2-af66cb75795c,Virgo Capital,virgo-capital
9d4a3980-c2f7-7611-da40-02483d0dbcc1,Recurring Capital Partners,recurring-capital-partners
313b076c-374b-66cc-bfe2-af66cb75795c,Virgo Capital,virgo-capital
d29973c3-95ec-691d-defd-6a6ba713c72a,Redpoint,redpoint-ventures
c2ec9696-d424-c0e5-a2f7-c2c49639a9e1,Bregal Sagemount,bregal-sagemount
37347502-9f6c-4882-aea4-caec93e2b60d,Temeku Holdings,temeku-holdings
eb436581-654f-dff4-1fbd-b82a133a1098,Lead Edge Capital,lead-edge-capital
8a244cce-580c-5994-481c-03022c8b934e,Contour Venture Partners,contour-ventures
fefb5595-3e9b-4bc5-ba50-4c6dfd290347,Alameda Research,alameda-research
9004f6a7-365b-454f-8a88-a2fe08d5a169,Mark Cuban Companies,mark-cuban-companies-group
870d6447-c8f9-48b2-890f-44f93fac68c9,Amzak Health Investors,amzak-health-investors
18eeb3bc-7e43-5661-e1bf-0a98487d7cea,Sectoral Asset Management,sectoral-asset-management
3fbdb3fb-8a43-4a98-a721-77a193f1c94b,Conti Ventures,conti-ventures
993351d3-3548-d482-13af-ef1598158b26,Caisse de Depot et Placement du Quebec,caisse-de-depot-et-placement-du-quebec
ba0b6b9f-e23f-b21a-f913-5d9c0c8fd24d,Alzheimer's Drug Discovery Foundation,alzheimers-drug-discovery-foundation
692d5dcc-49f8-4bc9-949e-669fa998d86e,Savant Growth,savant-growth
af5a73b9-09d0-838c-5167-7886eedfa714,Breakthrough Energy Ventures,breakthrough-energy-ventures
4b532bb0-3ee2-4949-bad8-a73adaf4636e,Woodforest National Bank,woodforest-national-bank
e91ce472-92de-425c-8851-ce180313227a,300ppm,300ppm
6c97e88a-4e7f-6433-d3ed-73e7bd62b473,S2G Ventures,s2g-ventures
3cbe859c-49d5-bc4e-5bbe-f73086dafe58,Aldrich Capital Partners,aldrich-capital-partners
6196b4da-cc7f-4a9c-b233-f0506dd9ea15,Hiro Capital,hiro-capital
a42bff09-2bf2-545f-fe94-8123bfd6b2ba,Streamlined Ventures,streamlined-ventures
fa92a20c-51d7-59d5-c9f4-d7e713030c98,Anzu Partners,anzu-partner
ec998b7d-5310-44fc-ab31-0c1f577c2087,CDP Venture Capital,cdp-venture-capital
866d8084-e70a-7535-8603-f5723d11736e,Bosch Ventures,robert-bosch-venture-capital
b396c91a-4c09-d968-694f-9b3ad447d74a,BDC ICE Fund (Cleantech),bdc-ice-fund-cleantech
